0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:38 +0900] "GET /LectureWeb/jquery/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:38 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:38 +0900] "GET /LectureWeb/jquery/image/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 888
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:38 +0900] "GET /LectureWeb/jquery/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:38 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:38 +0900] "GET /LectureWeb/jquery/image/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 888
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:38 +0900] "GET /LectureWeb/jquery/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:39 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:39 +0900] "GET /LectureWeb/jquery/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:39 +0900] "GET /LectureWeb/jquery/image/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 888
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:39 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:39 +0900] "GET /LectureWeb/jquery/image/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 888
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:39 +0900] "GET /LectureWeb/jquery/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 878
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:39 +0900] "GET /LectureWeb/jquery/exam06.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2022:09:44:39 +0900] "GET /LectureWeb/jquery/20191114_6a4c967c5b14197dd5d2c47424ae8e82.jpg HTTP/1.1" 404 878
